ranking,team,country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,titles,points,2012money_spent,2013money_spent,2014money_spent,2015money_spent,2016money_spent,2017money_spent,2018money_spent,2019money_spent,2020money_spent,2021money_spent
1,Real Madrid,ESP,32,26,35,29,33,33,32,19,17,26,90,372,50,35,158,113,77,27,36,146,312,0
2,Bayern,GER,30,33,27,28,29,22,29,20,36,27,43,324,47,63,56,48,82,63,105,9,125,70
3,Barcelona,ESP,30,24,24,34,26,23,25,30,24,20,41,301,54,30,90,150,46,112,338,127,271,100
4,Chelsea,ENG,30,27,25,21,18,0,18,30,17,33,28,247,87,99,117,124,87,120,234,188,40,222
5,Atletico,ESP,30,10,33,22,28,29,28,20,22,16,8,246,77,4,32,130,107,71,86,151,221,80
6,Juventus,ITA,0,23,23,29,18,33,23,21,22,21,17,230,92,65,41,54,164,147,150,234,202,128
7,Paris,FRA,7,25,25,21,24,20,19,19,31,24,2,217,96,136,122,45,104,121,214,204,86,56
8,Man City,ENG,17,7,19,15,26,18,22,25,25,35,1,210,82,56,104,92,187,194,286,70,144,145
9,Man United,ENG,13,18,23,0,13,26,20,19,22,26,24,204,56,69,69,176,140,166,179,75,211,75
10,Dortmund,GER,7,30,22,18,17,22,10,18,18,22,9,193,9,24,47,59,18,127,99,81,134,43
11,Arsenal,ENG,19,18,18,20,15,19,21,26,10,23,2,191,59,50,44,107,24,102,138,72,144,77
12,Sevilla,ESP,1.5,0,22,28,23,19,21,13,26,19,13,185.5,17,13,32,19,40,74,70,73,161,65
13,Porto,POR,10,20,16,25,11,17,17,23,7,23,16,185,40,12,31,48,40,37,19,36,57,20
14,Liverpool,ENG,0,9,0,10,22,0,30,29,18,24,40,182,59,64,52,136,114,72,156,164,9,74
15,Benfica,POR,21,26,29,8,22,17,4,17,10,10,8,172,28,29,50,35,32,39,9,24,58,94
16,Ajax,NED,12,9,10,14,6,22,1.5,27,13,19,22,155.5,12,5,6,11,10,41,24,48,53,57
17,Shakhtar Donetsk,UKR,8,17,11,17,20,14,19,10,22,14,2,154,14,22,64,11,0,0,2,37,5,0
18,Napoli,ITA,19,6,16,22,13,17,10,18,19,10,1,151,65,28,97,31,38,89,61,63,175,67
19,Tottenham,ENG,7,16,15,9,12,10,21,26,16,15,3,150,8,66,110,44,64,75,111,0,134,99
20,Zenit,RUS,18,13,16,17,19,12,14,10,9,5,2,135,15,80,36,21,4,24,86,33,61,29
