ranking,team,country,year,points,money
1,Real Madrid,ESP,2012,32,50
1,Real Madrid,ESP,2013,26,35
1,Real Madrid,ESP,2014,35,158
1,Real Madrid,ESP,2015,29,113
1,Real Madrid,ESP,2016,33,77
1,Real Madrid,ESP,2017,33,27
1,Real Madrid,ESP,2018,32,36
1,Real Madrid,ESP,2019,19,146
1,Real Madrid,ESP,2020,17,312
1,Real Madrid,ESP,2021,26,0
2,Bayern,GER,2012,30,47
2,Bayern,GER,2013,33,63
2,Bayern,GER,2014,27,56
2,Bayern,GER,2015,28,48
2,Bayern,GER,2016,29,82
2,Bayern,GER,2017,22,63
2,Bayern,GER,2018,29,105
2,Bayern,GER,2019,20,9
2,Bayern,GER,2020,36,125
2,Bayern,GER,2021,27,70
3,Barcelona,ESP,2012,30,54
3,Barcelona,ESP,2013,24,30
3,Barcelona,ESP,2014,24,90
3,Barcelona,ESP,2015,34,150
3,Barcelona,ESP,2016,26,46
3,Barcelona,ESP,2017,23,112
3,Barcelona,ESP,2018,25,338
3,Barcelona,ESP,2019,30,127
3,Barcelona,ESP,2020,24,271
3,Barcelona,ESP,2021,20,100
4,Chelsea,ENG,2012,30,87
4,Chelsea,ENG,2013,27,99
4,Chelsea,ENG,2014,25,117
4,Chelsea,ENG,2015,21,124
4,Chelsea,ENG,2016,18,87
4,Chelsea,ENG,2017,0,120
4,Chelsea,ENG,2018,18,234
4,Chelsea,ENG,2019,30,188
4,Chelsea,ENG,2020,17,40
4,Chelsea,ENG,2021,33,222
5,Atletico,ESP,2012,30,77
5,Atletico,ESP,2013,10,4
5,Atletico,ESP,2014,33,32
5,Atletico,ESP,2015,22,130
5,Atletico,ESP,2016,28,107
5,Atletico,ESP,2017,29,71
5,Atletico,ESP,2018,28,86
5,Atletico,ESP,2019,20,151
5,Atletico,ESP,2020,22,221
5,Atletico,ESP,2021,16,80
6,Juventus,ITA,2012,0,92
6,Juventus,ITA,2013,23,65
6,Juventus,ITA,2014,23,41
6,Juventus,ITA,2015,29,54
6,Juventus,ITA,2016,18,164
6,Juventus,ITA,2017,33,147
6,Juventus,ITA,2018,23,150
6,Juventus,ITA,2019,21,234
6,Juventus,ITA,2020,22,202
6,Juventus,ITA,2021,21,128
7,Paris,FRA,2012,7,96
7,Paris,FRA,2013,25,136
7,Paris,FRA,2014,25,122
7,Paris,FRA,2015,21,45
7,Paris,FRA,2016,24,104
7,Paris,FRA,2017,20,121
7,Paris,FRA,2018,19,214
7,Paris,FRA,2019,19,204
7,Paris,FRA,2020,31,86
7,Paris,FRA,2021,24,56
8,Man City,ENG,2012,17,82
8,Man City,ENG,2013,7,56
8,Man City,ENG,2014,19,104
8,Man City,ENG,2015,15,92
8,Man City,ENG,2016,26,187
8,Man City,ENG,2017,18,194
8,Man City,ENG,2018,22,286
8,Man City,ENG,2019,25,70
8,Man City,ENG,2020,25,144
8,Man City,ENG,2021,35,145
9,Man United,ENG,2012,13,56
9,Man United,ENG,2013,18,69
9,Man United,ENG,2014,23,69
9,Man United,ENG,2015,0,176
9,Man United,ENG,2016,13,140
9,Man United,ENG,2017,26,166
9,Man United,ENG,2018,20,179
9,Man United,ENG,2019,19,75
9,Man United,ENG,2020,22,211
9,Man United,ENG,2021,26,75
10,Dortmund,GER,2012,7,9
10,Dortmund,GER,2013,30,24
10,Dortmund,GER,2014,22,47
10,Dortmund,GER,2015,18,59
10,Dortmund,GER,2016,17,18
10,Dortmund,GER,2017,22,127
10,Dortmund,GER,2018,10,99
10,Dortmund,GER,2019,18,81
10,Dortmund,GER,2020,18,134
10,Dortmund,GER,2021,22,43
11,Arsenal,ENG,2012,19,59
11,Arsenal,ENG,2013,18,50
